slug;school_id;korpus_id;walk_min;walk_m
akvilon-beside-2-0;shkola-777-im-e-v-mihaylova;shkola-777-im-e-v-mihaylova-6;14;1046
akvilon-beside-2-0;osm-398-shkola-1314;osm-398-shkola-1314-1;15;1160
akvilon-beside-2-0;osm-458-gimnaziya-1597;osm-458-gimnaziya-1597-1;16;1174
akvilon-beside-2-0;osm-451-progimnaziya-1882;osm-451-progimnaziya-1882-1;17;1243
akvilon-beside-2-0;osm-499-tsentr-obrazovaniya-lichnost;osm-499-tsentr-obrazovaniya-lichnost-1;18;1327
akvilon-beside-2-0;osm-198-shkola-internat-im-yu-v-nikuli;osm-198-shkola-internat-im-yu-v-nikuli-1;24;1771
akvilon-beside-2-0;shkola-na-yugo-vostoke-im-v-i-chuykova;shkola-na-yugo-vostoke-im-v-i-chuykova-1;25;1866
akvilon-beside-2-0;osm-82-shkola-623;osm-82-shkola-623-1;25;1908
akvilon-beside-2-0;osm-418-shkola-813;osm-418-shkola-813-1;26;1970
akvilon-beside-2-0;osm-199-shkola-394;osm-199-shkola-394-1;26;1974
akvilon-beside-2-0;shkola-1420;shkola-1420-1;27;2037
akvilon-signal;shkola-1494;shkola-1494-3;17;1238
akvilon-signal;shkola-962;shkola-962-3;17;1312
akvilon-signal;shkola-950;shkola-950-5;21;1612
akvilon-signal;osm-576-tsentr-obrazovaniya-264;osm-576-tsentr-obrazovaniya-264-1;23;1734
akvilon-signal;osm-452-shkola-1213;osm-452-shkola-1213-3;25;1878
akvilon-signal;osm-577-shkola-959;osm-577-shkola-959-1;28;2102
alia;shkola-727;shkola-727-1;17;1257
alia;shkola-1285;shkola-1285-4;24;1829
alia;kurchatovskaya-shkola;kurchatovskaya-shkola-6;29;2183
altufevskoe-53;osm-268-shkola-970;osm-268-shkola-970-1;10;741
altufevskoe-53;osm-657-shkola-745;osm-657-shkola-745-1;13;957
altufevskoe-53;shkola-1411;shkola-1411-1;14;1041
altufevskoe-53;shkola-962;shkola-962-5;15;1102
altufevskoe-53;shkola-305;shkola-305-1;16;1173
