slug;name;name_short;dev_id;developer;class;class_zayavlen;class_why;class_declared;class_disputed;okrug;district;address;lat;lon;geo_precision;type;units_total;units_per_floor;floors;ceilings_m;parking;stage;deadline_initial;deadline;price_from_m2;price_median_m2;price_check;penthouses;penthouse_flag;architect;facade;energy_class;escrow;maintenance_rub_m2;website;sources;updated;p01;p02;p03;p04;p05;p06;p07;p08;p09;pasport;pasport_why;school_min;school_name;nota_school_min;nota_school_name;nota_15;marked_min;marked_name;marked_20;lots;lot_min_m2;lot_min_price;lots_median_m2;lots_date;has_foto;rynok
level-voykovskaya;Level Войковская;Level Войковская;level-group;Level Group;бизнес;бизнес;минус к классу: паркинг;бизнес;;САО;Войковский;Старопетровский пр-д, 11;55.82413;37.50454;адрес;квартиры;539;;27;3.02;261;строится;;III кв. 2028;377200;;;;;;;;;;https://level.ru/projects/vojkovskaya/;"https://mskguru.ru/novostroyki/5195-zhk-level-vojjkovskaya https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ https://novostroev.ru/novostroyki/moskva/sao/voykovskiy/level-voykovskaya/ https://level.ru/projects/vojkovskaya/ https://level.ru/filter/?project=vojkov добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (67276) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/sao/voykovskiy/level-voykovskaya/ 24.09.2026";23.09.2026;да;нет;да;да;нет;да;да;да;да;Отметка;минусы: окружение, машина;7;Школа №90 им;8;Школа № 201;1;;;0;71;28.4;17000000;;23.09.2026;да;первичка
dom-na-chasovoy;Дом на Часовой (DD:OO:MM);Дом на Часовой;dar;DAR;бизнес;бизнес;минус к классу: паркинг;бизнес;;САО;Аэропорт;Часовая ул.;55.80700;37.53597;адрес;квартиры;255;;24;3.61;170;строится;;II кв. 2028;641400;;;да;да;;;;;;;"https://mskguru.ru/novostroyki/5218-zhk-ddoomm-dom-na-chasovojj https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ approx-coords https://novostroev.ru/novostroyki/moskva/sao/aeroport/dd-oo-mm/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (69149) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/sao/aeroport/dd-oo-mm/ 24.09.2026";23.09.2026;да;да;да;да;нет;нет данных;да;да;да;Отметка;минусы: машина;6;Школа-интернат № 2;6;Школа-интернат № 2;6;7;Школа № 1575;2;54;28.2;21800000;;23.09.2026;да;первичка
svet;СВЕТ;СВЕТ;dominanta;Dominanta;бизнес;бизнес;минус к классу: паркинг;бизнес;;САО;Западное Дегунино;Дмитровское ш., 82;55.86506;37.54940;адрес;квартиры;662;;54;3.00;99;строится;;I кв. 2028;573100;;;;;;;;;;https://www.svet.house/;"https://mskguru.ru/novostroyki/5191-zhk-svet https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ approx-coords https://novostroev.ru/novostroyki/moskva/sao/zapadnoe-degunino/svet/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (64566) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/sao/zapadnoe-degunino/svet/ 24.09.2026";23.09.2026;да;нет;да;да;нет;нет данных;да;да;нет;Присмотреться;минусы: окружение, машина, цена против класса;9;Школа № 656 им. А.С. Макаренко;9;Школа № 656 им. А.С. Макаренко;1;;;0;56;57.7;35200000;;23.09.2026;да;первичка
aktsenty;Акценты;Акценты;plus-development;Plus Development;бизнес;бизнес;минус к классу: паркинг;бизнес;;САО;Восточное Дегунино;Дубнинская ул., 79;55.88859;37.55647;адрес;квартиры;673;9;31;2.85;494;строится;;IV кв. 2027;425200;;;;;;;;;;;"https://mskguru.ru/novostroyki/5190-zhk-akcentyy https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ https://novostroev.ru/novostroyki/moskva/sao/vostochnoe-degunino/aktsenty/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (66746) 24.09.2026; квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/sao/vostochnoe-degunino/aktsenty/ 24.09.2026";23.09.2026;да;да;нет;да;нет;нет данных;да;да;да;Отметка;минусы: повседневность, машина;8;Школа №1678;19;Школа № 1449 им. М.В. Водопьянова;0;;;0;;28.4;15500000;;23.09.2026;да;первичка
dmitrovskoe-nebo;Дмитровское небо;Дмитровское небо;gruppa-lsr;Группа ЛСР;бизнес;бизнес;минус к классу: плотность, паркинг, потолки;бизнес;;САО;Западное Дегунино;Ильменский пр-д;55.85815;37.54707;адрес;квартиры;2401;21;33;2.60;549;строится;;II кв. 2027;440367;;;;;;;;;;https://www.lsr.ru/;"https://mskguru.ru/novostroyki/4893-zhk-dmitrovskoe-nebo https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ https://novostroev.ru/novostroyki/moskva/sao/zapadnoe-degunino/dmitrovskoe-nebo/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (47112) 24.09.2026; квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/sao/zapadnoe-degunino/dmitrovskoe-nebo/ 24.09.2026";23.09.2026;да;нет;нет;нет;нет;да;да;не применяется;да;Без отметки;минусы: окружение, повседневность, плотность, машина;12;Лицей №1594;14;Школа № 656 им. А.С. Макаренко;1;;;0;818;19.8;9300000;;23.09.2026;да;первичка
kronshtadtskiy-9;Кронштадтский 9;Кронштадтский 9;pik;ПИК;бизнес;бизнес;минус к классу: плотность, паркинг, потолки;бизнес;;САО;Головинский;Кронштадтский б-р, 9;55.84270;37.48794;адрес;квартиры;2689;;34;2.72;700;строится;;I кв. 2028;376600;;;;;;;;;;https://www.pik.ru/;"https://mskguru.ru/novostroyki/4587-zhk-kronshtadskijj-9 https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ https://novostroev.ru/novostroyki/moskva/sao/golovinskiy/kronshtadtskiy-9/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (61221 +6) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/sao/golovinskiy/kronshtadtskiy-9/ 24.09.2026";23.09.2026;да;да;да;нет;нет;да;нет;да;да;Присмотреться;минусы: плотность, машина, сроки дома;10;Школа № 1315;10;Школа № 1315;3;;;0;;21.1;13900000;;23.09.2026;да;первичка
narvin;Нарвин;Нарвин;pik;ПИК;бизнес;бизнес;минус к классу: плотность, паркинг, потолки;бизнес;;САО;Головинский;ул. Кронштадтская, 16-18;55.84041;37.48892;адрес;квартиры;1174;13;39;2.74;207;строится;;IV кв. 2028;384500;;;;;;;;;;https://www.pik.ru/;"https://mskguru.ru/novostroyki/5140-zhk-narvin https://mskguru.ru/rayon/sao https://novostroev.ru/novostroyki/moskva/sao/golovinskiy/narvin/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (66234) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/sao/golovinskiy/narvin/ 24.09.2026";23.09.2026;да;да;да;нет;нет;да;да;да;да;Отметка;минусы: плотность, машина;7;Школа № 224;7;Школа № 224;3;;;0;;19.1;12000000;;23.09.2026;да;первичка
businovskiy-park;Бусиновский парк;Бусиновский парк;pik;ПИК;бизнес;бизнес;минус к классу: плотность, потолки;бизнес;;САО;Западное Дегунино;ул. Ижорская, 6с5;55.89457;37.51947;адрес;квартиры;5514;;34;2.62;;строится;;III кв. 2026 – II кв. 2027;346800;;;;;;;;;;https://www.pik.ru/;"https://mskguru.ru/novostroyki/4576-zhk-businovskijj-park https://mskguru.ru/rayon/sao https://novostroev.ru/novostroyki/moskva/sao/zapadnoe-degunino/businovskiy-park/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (67437 +10) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/sao/zapadnoe-degunino/businovskiy-park/ 24.09.2026";23.09.2026;да;нет;нет;нет;нет данных;да;да;да;да;Без отметки;красная линия: окружение;13;Школа №683;22;Школа «Дмитровский»;0;;;0;;20;11600000;;23.09.2026;да;первичка
dius;DIUS (Диус);DIUS;gk-sever;ГК Север;бизнес;бизнес;;бизнес;;САО;Аэропорт;ул. Академика Ильюшина, 21;55.80702;37.54800;адрес;апартаменты;451;;23;3.15;667;строится;;IV кв. 2027;447000;;;;;;;;;;https://dius-mfk.ru/;"https://novostroev.ru/novostroyki/moskva/sao/aeroport/na-ul-akademika-ilyushina-21/ https://mskguru.ru/rayon/sao добор 04/05: этажность — наш.дом.рф, объекты ЕИСЖС (57838) 24.09.2026; квартиры, машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/sao/aeroport/na-ul-akademika-ilyushina-21/ 24.09.2026";23.09.2026;да;нет;да;да;да;да;нет;нет;да;Присмотреться;минусы: окружение, сроки дома, юридика;3;Инженерно-техническая школа им. П.Р. Поповича;3;Инженерно-техническая школа им. П.Р. Поповича;6;12;Школа № 1575;2;;;14400000;;23.09.2026;да;первичка
festival-park-2;Фестиваль парк-2;Фестиваль парк-2;tsentr-invest;Центр-Инвест;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;САО;Левобережный;Фестивальная ул., 15;55.85952;37.47490;адрес;квартиры;1595;5;35;3.10;1050;сдан, есть остатки;;сдан;366800;;;;;;;;;;;https://mskguru.ru/novostroyki/4611-zhk-festivaly-park2 https://ama.ru/msk/moskva/sao/biznes https://novostroev.ru/novostroyki/moskva/sao/levoberezhnyy/festival-park/ добор 04/05: этажность, квартиры, машиноместа, квартир на этаже, потолки — наш.дом.рф, объекты ЕИСЖС (30550 +7) 24.09.2026;23.09.2026;да;да;да;нет;нет;да;да;не применяется;да;Отметка;минусы: плотность, машина;6;Школа № 167 им. Л.А. Говорова;6;Школа № 167 им. Л.А. Говорова;3;;;0;;22.3;13100000;;23.09.2026;да;первичка и вторичка
leningradka-58;Ленинградка 58;Ленинградка 58;gruppa-lsr;Группа ЛСР;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;САО;Головинский;Ленинградское ш., 58;55.84239;37.48059;адрес;квартиры;966;11;31;2.85;534;распродан;;сдан;386000;;;;;;;;;;;https://mskguru.ru/rayon/sao https://ama.ru/msk/moskva/sao/biznes https://realty.yandex.ru/moskva/kupit/novostrojka/x-1570842/ https://www.cian.ru/cat.php?deal_type=sale&engine_version=2&offer_type=flat&from_developer=1&newobject%5B0%5D=48502 https://novostroev.ru/novostroyki/moskva/sao/golovinskiy/leningradka-58/flats/?order=price_asc добор 04/05: этажность, квартиры, машиноместа, квартир на этаже, потолки — наш.дом.рф, объекты ЕИСЖС (11437) 24.09.2026;23.09.2026;да;нет;да;нет;нет;да;да;не применяется;да;Присмотреться;минусы: окружение, плотность, машина;8;Школа № 1315;8;Школа № 1315;2;;;0;;;;;;да;только вторичка
dom-na-zorge;Дом на Зорге;Дом на Зорге;a101;А101;бизнес;бизнес;минус к классу: паркинг;бизнес;;САО;Сокол;ул. Зорге;55.7917;37.5051;ЕИСЖС, объект 52381 (исправлено 23.09);квартиры;308;;18;3.00;118;сдан, есть остатки;;I кв. 2026;422454;;;;;;;;;;https://a101.ru/projects/dom-na-zorge/;"https://mskguru.ru/rayon/sao https://ama.ru/msk/moskva/sao/biznes https://novostroev.ru/novostroyki/moskva/sao/sokol/dom-na-zorge/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (52381) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/sao/sokol/dom-na-zorge/ 24.09.2026";23.09.2026;да;нет;нет;да;нет;да;да;не применяется;да;Присмотреться;минусы: окружение, повседневность, машина;3;Центр образования №1865;7;Школа № 141 им. Рихарда Зорге;1;22;Курчатовская школа;0;;24.4;14400000;;23.09.2026;да;первичка и вторичка
l67;L67;L67;forma;FORMA;бизнес;бизнес;;бизнес;;САО;Левобережный;Ленинградское ш. (Левобережный);55.85850;37.46790;адрес;квартиры;;;;;;анонс;;;;;;;;;;;;;;https://novostroev.ru/novostroyki/moskva/sao/levoberezhnyy/l67/;23.09.2026;да;нет;да;нет данных;нет данных;да;нет данных;нет данных;нет данных;Отметка;минусы: окружение;8;Cambridge International School (CIS);8;Cambridge International School (CIS);2;;;0;;;;;;да;анонс
veri;ВЭРИ (Very) на Ботанической;ВЭРИ;gk-osnova;ГК Основа;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;СВАО;Марфино;Ботаническая ул., 29;55.83422;37.59314;адрес;квартиры;1456;15;32;2.86;631;строится;;IV кв. 2027;430000;;;;;;;;;;https://gk-osnova.ru/very-botsad;"https://mskguru.ru/novostroyki/4544-zhk-botanicheskaya-29 https://www.cian.ru/novostroyki-biznes-klassa-moskva-svao-046/ approx-coords https://novostroev.ru/novostroyki/moskva/svao/marfino/very/ https://gk-osnova.ru/very-botsad https://gk-osnova.ru/kupit-kvartiru добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (39485 +3) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/svao/marfino/very/ 24.09.2026";23.09.2026;да;да;нет;нет;нет;да;да;не применяется;да;Присмотреться;минусы: повседневность, плотность, машина;8;Школа № 296;14;Школа № 1494;1;;;0;;25.8;16300000;;23.09.2026;да;первичка
mirapolis;Мираполис;Мираполис;gk-osnova;ГК Основа;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;СВАО;Ярославский;просп. Мира, 222;55.84067;37.66814;адрес;апартаменты;1941;18;38;3.00;608;строится;;IV кв. 2027;274500;;;;;;;;;;https://gk-osnova.ru/mirapolis;"https://mskguru.ru/novostroyki/4671-zhk-mira-222 https://novostroev.ru/novostroyki/moskva/svao/yaroslavskiy/mirapolis/ https://gk-osnova.ru/mirapolis/kupit-kvartiru https://gk-osnova.ru/kupit-kvartiru добор 04/05: этажность — наш.дом.рф, объекты ЕИСЖС (62266 +1) 24.09.2026; квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/svao/yaroslavskiy/mirapolis/ 24.09.2026";23.09.2026;да;нет;нет;нет;нет;да;да;нет;да;Без отметки;минусы: окружение, повседневность, плотность, машина, юридика;14;Школа № 1499 им. И.А. Докукина;14;Школа № 1499 им. И.А. Докукина;1;;;0;201;19.6;7500000;;23.09.2026;да;первичка
kvartal-mons;Квартал МОНС;Квартал МОНС;brusnika;Брусника;бизнес;бизнес;;бизнес;;СВАО;Бутырский;Огородный пр-д, 20;55.81794;37.59449;адрес;квартиры;730;8;31;2.98;875;строится;;III кв. 2027;373100;;;;;;;;;;;"https://mskguru.ru/novostroyki/5081-zhk-mons https://novostroev.ru/novostroyki/moskva/svao/butyrskiy/mons-ogorodnyy-proekt/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (58168) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/svao/butyrskiy/mons-ogorodnyy-proekt/ 24.09.2026";23.09.2026;да;нет;да;да;да;да;да;да;да;Отметка;минусы: окружение;6;Школа № 252;9;Школа № 1236 им. С.В. Милашенкова;1;26;Школа № 218;0;215;23.8;14200000;;23.09.2026;да;первичка
polar;Полар;Полар;pik;ПИК;бизнес;бизнес;минус к классу: плотность, паркинг, потолки;бизнес;;СВАО;Северное Медведково;Полярная ул., 39А;55.89340;37.64468;адрес;квартиры;2702;;52;2.63;639;строится;;II кв. 2027;280400;;;;;;;;;;https://www.pik.ru/polar;"https://mskguru.ru/novostroyki/4988-zhk-polar https://www.cian.ru/novostroyki-biznes-klassa-moskva-svao-046/ https://novostroev.ru/novostroyki/moskva/svao/severnoe-medvedkovo/polar/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (53359 +1) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/svao/severnoe-medvedkovo/polar/ 24.09.2026";23.09.2026;да;да;нет;нет;нет;да;да;да;да;Присмотреться;минусы: повседневность, плотность, машина;10;Школа № 1506;10;Школа № 1506;1;;;0;;19.4;8300000;;23.09.2026;да;первичка
rustaveli-14;Руставели, 14;Руставели, 14;pik;ПИК;бизнес;бизнес;минус к классу: плотность;бизнес;;СВАО;Бутырский;ул. Руставели, 14;55.81211;37.59786;адрес;квартиры;4030;;35;;;строится;;I кв. 2029;424000;;;;;;;;;;;https://mskguru.ru/novostroyki/4516-zhk-rustaveli-14 https://ama.ru/msk/moskva/svao/biznes https://novostroev.ru/novostroyki/moskva/svao/butyrskiy/na-ul-rustaveli/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (68014 +6) 24.09.2026;23.09.2026;да;нет;да;нет;нет данных;да;да;да;да;Отметка;минусы: окружение, плотность;8;Школа № 252;18;Школа № 1236 им. С.В. Милашенкова;0;26;Школа № 218;0;;23.7;17000000;;23.09.2026;да;первичка
altufevskoe-53;Алтуфьевское 53;Алтуфьевское 53;pik;ПИК;бизнес;бизнес;минус к классу: плотность, паркинг, потолки;бизнес;;СВАО;Алтуфьевский;Алтуфьевское ш., 53;55.87126;37.58278;адрес;квартиры;3029;11;34;2.66;303;строится;;IV кв. 2028;253400;;;;;;;;;;;"https://mskguru.ru/novostroyki/5071-zhk-altufevskoe-53 https://www.cian.ru/novostroyki-biznes-klassa-moskva-svao-046/ https://novostroev.ru/novostroyki/moskva/svao/altufevskiy/altufevskoe-53/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (64596 +2) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/svao/altufevskiy/altufevskoe-53/ 24.09.2026";23.09.2026;да;нет;нет;нет;нет;да;да;да;да;Без отметки;минусы: окружение, повседневность, плотность, машина;10;Школа №970;14;Школа № 1411;2;;;0;;28;8200000;;23.09.2026;да;первичка
apsayd-tauers;Апсайд Тауэрс (Upside Towers);Апсайд Тауэрс;upside-development;UPSIDE DEVELOPMENT;бизнес;бизнес;минус к классу: потолки;бизнес;;СВАО;Бутырский;Огородный пр-д, 2;55.81189;37.60162;адрес;квартиры;731;15;58;2.55;;строится;;II кв. 2027 – II кв. 2029;513123;;;;;;;;;;https://upside-towers.ru/;"https://mskguru.ru/novostroyki/4849-zhk-ogorodnyyjj-proezd-2 https://novostroev.ru/novostroyki/moskva/svao/butyrskiy/upside-towers-apsayd-tauers/ https://upside-towers.ru/plans добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (72964 +3) 24.09.2026; квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/svao/butyrskiy/upside-towers-apsayd-tauers/ 24.09.2026";23.09.2026;да;да;да;нет;нет данных;да;да;да;да;Отметка;минусы: плотность;11;Школа № 252;21;Школа № 1236 им. С.В. Милашенкова;0;29;Школа № 218;0;;21.9;17000000;;23.09.2026;да;первичка
